
0.021	0.699685	0.0105091	-0.00209656	0.500297	1.00165	-2.16993e-06	0.0210054	0.00044107	-1.83762e-05	0.999504	-0.00044097	0.0209904	0.157522	-0.000309574	1.00077	0.0420134	-0.00262455	-0.0472102	-0.0419943	0.998622
0.022	0.699683	0.0110094	-0.00219656	0.500277	1.00182	-2.49443e-06	0.0220062	0.000484085	-2.11277e-05	0.999456	-0.000483964	0.0219889	0.165022	-0.000339648	1.00085	0.0440154	-0.0028803	-0.049453	-0.0439935	0.998488
0.023	0.69968	0.0115097	-0.00229658	0.500257	1.00198	-2.84969e-06	0.0230071	0.000529101	-2.41408e-05	0.999405	-0.000528957	0.0229873	0.172523	-0.000371099	1.00093	0.0460176	-0.0031479	-0.0516951	-0.0459925	0.998348
0.024	0.699678	0.0120099	-0.00239663	0.500235	1.00216	-3.23709e-06	0.0240081	0.00057612	-2.74274e-05	0.999352	-0.000575949	0.0239856	0.180024	-0.000403925	1.00101	0.04802	-0.00342737	-0.0539365	-0.0479915	0.998201
0.025	0.699676	0.0125101	-0.0024967	0.500212	1.00234	-3.658e-06	0.0250091	0.000625141	-3.09995e-05	0.999297	-0.00062494	0.0249837	0.187525	-0.000438123	1.00109	0.0500226	-0.00371869	-0.0561771	-0.0499904	0.998048
0.026	0.699673	0.0130103	-0.0025968	0.500189	1.00254	-4.11379e-06	0.0260102	0.000676165	-3.48688e-05	0.99924	-0.00067593	0.0259817	0.195025	-0.00047369	1.00118	0.0520255	-0.00402186	-0.0584168	-0.0519892	0.997889
0.027	0.69967	0.0135105	-0.00269693	0.500164	1.00273	-4.60583e-06	0.0270115	0.000729192	-3.90471e-05	0.99918	-0.000728918	0.0269795	0.202526	-0.000510623	1.00127	0.0540285	-0.00433687	-0.0606557	-0.0539879	0.997724
0.028	0.699668	0.0140107	-0.00279709	0.500139	1.00294	-5.13549e-06	0.0280128	0.000784223	-4.35464e-05	0.999119	-0.000783905	0.0279771	0.210027	-0.000548917	1.00137	0.0560318	-0.00466372	-0.0628936	-0.0559865	0.997552
0.029	0.699665	0.0145108	-0.00289727	0.500112	1.00315	-5.70412e-06	0.0290142	0.000841256	-4.83785e-05	0.999055	-0.000840891	0.0289746	0.217528	-0.00058857	1.00147	0.0580353	-0.00500241	-0.0651307	-0.057985	0.997374
0.03	0.699662	0.0150109	-0.00299749	0.500085	1.00338	-6.31308e-06	0.0300157	0.000900293	-5.35552e-05	0.998988	-0.000899875	0.0299719	0.225028	-0.000629578	1.00157	0.0600391	-0.00535293	-0.0673668	-0.0599834	0.99719
0.031	0.699659	0.0155109	-0.00309773	0.500057	1.0036	-6.96373e-06	0.0310174	0.000961334	-5.90883e-05	0.99892	-0.000960858	0.030969	0.232529	-0.000671937	1.00168	0.0620432	-0.00571527	-0.0696019	-0.0619816	0.997
0.032	0.699656	0.016011	-0.00319801	0.500028	1.00384	-7.6574e-06	0.0320191	0.00102438	-6.49897e-05	0.998849	-0.00102384	0.0319659	0.240029	-0.000715644	1.00179	0.0640475	-0.00608943	-0.0718359	-0.0639798	0.996804
0.033	0.699652	0.016511	-0.00329832	0.499998	1.00408	-8.39546e-06	0.0330209	0.00108943	-7.12711e-05	0.998776	-0.00108882	0.0329626	0.24753	-0.000760694	1.0019	0.0660521	-0.0064754	-0.074069	-0.0659778	0.996601
0.034	0.699649	0.017011	-0.00339867	0.499967	1.00434	-9.17924e-06	0.0340229	0.00115648	-7.79444e-05	0.998701	-0.00115579	0.0339591	0.25503	-0.000807084	1.00202	0.068057	-0.00687318	-0.0763009	-0.0679758	0.996392
0.035	0.699646	0.0175109	-0.00349905	0.499935	1.00459	-1.00101e-05	0.035025	0.00122554	-8.50214e-05	0.998624	-0.00122477	0.0349554	0.262531	-0.000854809	1.00214	0.0700621	-0.00728276	-0.0785317	-0.0699736	0.996177
0.036	0.699642	0.0180109	-0.00359947	0.499902	1.00486	-1.08893e-05	0.0360272	0.00129661	-9.25139e-05	0.998544	-0.00129574	0.0359514	0.270031	-0.000903865	1.00226	0.0720676	-0.00770413	-0.0807613	-0.0719712	0.995956
0.037	0.699638	0.0185107	-0.00369993	0.499868	1.00513	-1.18182e-05	0.0370295	0.00136968	-0.000100434	0.998462	-0.00136871	0.0369473	0.277532	-0.000954247	1.00239	0.0740734	-0.00813728	-0.0829898	-0.0739687	0.995729
0.038	0.699635	0.0190106	-0.00380042	0.499834	1.00542	-1.27982e-05	0.038032	0.00144476	-0.000108792	0.998378	-0.00144368	0.0379429	0.285032	-0.00100595	1.00252	0.0760795	-0.00858222	-0.085217	-0.0759661	0.995495
0.039	0.699631	0.0195104	-0.00390095	0.499798	1.0057	-1.38306e-05	0.0390345	0.00152184	-0.000117602	0.998292	-0.00152064	0.0389383	0.292532	-0.00105897	1.00265	0.078086	-0.00903892	-0.087443	-0.0779634	0.995255
0.04	0.699627	0.0200102	-0.00400153	0.499762	1.006	-1.49166e-05	0.0400373	0.00160093	-0.000126874	0.998203	-0.00159961	0.0399334	0.300032	-0.00111331	1.00279	0.0800928	-0.0095074	-0.0896678	-0.0799605	0.995009
